timestamp,signal,confidence,rf_signal,xgb_signal,lgb_signal,executed,blocked_by,current_price,atr
2026-02-23T14:23:39.291716+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66074.14,566.7
2026-02-23T14:24:39.504425+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66057.75,566.7
2026-02-23T14:25:39.697242+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66093.12,566.7
2026-02-23T14:26:39.900755+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66091.64,566.7
2026-02-23T14:27:40.096863+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66079.78,566.7
2026-02-23T14:28:40.283889+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66080.78,566.7
2026-02-23T14:29:40.451379+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66091.46,566.7
2026-02-23T14:30:40.643621+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66182.21,566.7
2026-02-23T14:31:40.823689+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66172.50,566.7
2026-02-23T14:32:41.006564+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66165.65,566.7
2026-02-23T14:33:41.175560+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66147.50,566.7
2026-02-23T14:34:41.360584+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65994.65,566.7
2026-02-23T14:35:41.533778+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66092.71,566.7
2026-02-23T14:36:41.709844+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65965.64,566.7
2026-02-23T14:37:41.905602+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65841.96,566.7
2026-02-23T14:38:42.083592+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65892.37,566.7
2026-02-23T14:39:42.269763+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65842.31,566.7
2026-02-23T14:40:42.467675+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65707.76,566.7
2026-02-23T14:41:42.664994+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65588.95,566.7
2026-02-23T14:42:42.867624+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65660.75,566.7
2026-02-23T14:43:43.061531+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65686.50,566.7
2026-02-23T14:44:43.261968+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65875.75,566.7
2026-02-23T14:45:43.468845+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65919.03,566.7
2026-02-23T14:46:43.661661+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65776.08,566.7
2026-02-23T14:47:43.853560+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65960.77,566.7
2026-02-23T14:48:44.070347+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65851.61,566.7
2026-02-23T14:49:44.331515+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65657.35,566.7
2026-02-23T14:50:44.567140+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65848.61,566.7
2026-02-23T14:51:44.793382+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66066.27,566.7
2026-02-23T14:52:44.988142+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65970.82,566.7
2026-02-23T14:53:45.195720+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66060.70,566.7
2026-02-23T14:54:45.400055+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,65970.19,566.7
2026-02-23T14:55:45.600921+00:00,HOLD,62.1%,HOLD,BUY,HOLD,False,confidence_gate,66001.13,566.7
